Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
D?,"DWMAPI.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
,"c:\windows\system32\RPCRT4.DLL",2007-07-09 08:09:42,2007-07-09 08:09:42,584192,A,0x0008EC00,0x0008EC00,x86,Console,"CV",0x77E70000,Unknown,0x00092000,Not Loaded,5.1.2600.3173,5.1.2600.3173,5.1,7.10,5.1,4.10
,"c:\windows\system32\SECUR32.DLL",2009-02-03 15:08:52,2009-02-03 15:08:52,55808,A,0x0001C522,0x0001C522,x86,Console,"CV",0x77FE0000,Unknown,0x00011000,Not Loaded,5.1.2600.3518,5.1.2600.3518,5.1,7.10,5.1,4.0
,"c:\windows\system32\SHELL32.DLL",2008-07-03 07:03:30,2008-07-03 08:03:28,8460800,A,0x00817794,0x00817794,x86,GUI,"CV",0x7C9C0000,Unknown,0x00817000,Not Loaded,6.0.2900.3402,6.0.2900.3402,5.1,7.10,5.1,4.10
,"c:\windows\system32\SQLITE3.DLL",2008-10-15 07:27:00,2008-10-15 06:27:51,489371,A,0x00000000,0x0007D669,x86,Console,"None",0x60900000,Unknown,0x00069000,Not Loaded,N/A,N/A,1.0,2.56,4.0,4.0
,"c:\windows\system32\USER32.DLL",2007-03-08 10:36:28,2007-03-08 10:36:28,577536,A,0x000940E1,0x000940E1,x86,GUI,"CV",0x7E410000,Unknown,0x00090000,Not Loaded,5.1.2600.3099,5.1.2600.3099,5.1,7.10,5.1,4.0
,"c:\windows\system32\WS2_32.DLL",2004-08-04 12:00:00,2004-08-04 02:57:38,82944,A,0x0002030B,0x0002030B,x86,Console,"CV",0x71AB0000,Unknown,0x00017000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
,"c:\windows\system32\WS2HELP.DLL",2004-08-04 12:00:00,2004-08-04 02:57:39,19968,A,0x0000AFF6,0x0000AFF6,x86,Console,"CV",0x71AA0000,Unknown,0x00008000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\ACTIVEDS.DLL",2004-08-04 12:00:00,2004-08-04 02:56:03,194048,A,0x00037ECF,0x00037ECF,x86,Console,"CV",0x77CC0000,Unknown,0x00032000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\ADSLDPC.DLL",2004-08-04 12:00:00,2004-08-04 02:56:13,143360,A,0x00026305,0x00026305,x86,Console,"CV",0x76E10000,Unknown,0x00025000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\ADVPACK.DLL",2009-02-20 13:09:36,2009-02-20 13:09:35,124928,A,0x0001FF8B,0x0001FF8B,x86,GUI,"CV",0x42EC0000,Unknown,0x0002E000,Not Loaded,7.0.6000.16825,7.0.6000.16825,6.0,8.0,6.0,5.1
D,"c:\windows\system32\APPHELP.DLL",2004-08-04 12:00:00,2004-08-04 02:56:36,126976,A,0x00026328,0x00026328,x86,GUI,"CV",0x77B40000,Unknown,0x00022000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\ATL.DLL",2004-08-04 12:00:00,2004-08-04 02:56:55,58880,A,0x00013D20,0x00013D20,x86,Console,"CV",0x76B20000,Unknown,0x00011000,Not Loaded,3.5.2284.0,6.5.0.2284,5.1,7.10,5.1,4.10
D,"c:\windows\system32\AUTHZ.DLL",2005-03-02 12:09:30,2005-03-02 13:09:29,56832,A,0x0000E2D5,0x0000E2D5,x86,Console,"CV",0x776C0000,Unknown,0x00011000,Not Loaded,5.1.2600.2622,5.1.2600.2622,5.1,7.10,5.1,4.10
